"WBIC","lakeChar_Area","lakeChar_Length","lakeChar_MaxDepth","lakeChar_MeanDepth","fishCommunity_Panfish","fishCommunity_Catfish","fishCommunity_Largemouth.Bass","fishCommunity_Musky","fishCommunity_Northern.Pike","fishCommunity_Rainbow.Smelt","fishCommunity_Smallmouth.Bass","fishCommunity_Sturgeon","fishCommunity_Trout","fishCommunity_Walleye","fishCommunity_Cisco","fishingPressure_Landlock","fishingPressure_publicaccess","fishingPressure_accessscore","fishingPressure_mroad_dist","fishingPressure_Road_dist","lakeOrder","riparian_Developed","riparian_Barren","riparian_Forest","riparian_Shrub.Scrub","riparian_Grassland","riparian_Pasture.hay","riparian_CultivatedCrops","riparian_Wetlands","waterQuality_Secchi_satellite","waterQuality_Secchi","waterQuality_Calcium","waterQuality_Conductance","waterQuality_Alkalinity","waterQuality_pH","waterQuality_totalP","waterQuality_Color","waterQuality_Dissolved.OC","waterQuality_MEI","watershed_HUC10","watershed_Developed","watershed_Barren","watershed_Forest","watershed_Shrub.Scrub","watershed_Grassland","watershed_Pasture.hay","watershed_Cultivated","watershed_Wetlands"
675400,60831.62793,1086.752253,2.4,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6766.036552,426.416302,1,0,0,0.403100775,0,0,0,0,0.596899225,3.151839294,NA,NA,213,80,6.9,NA,2,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
675800,269317.6716,3332.176326,1.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5326.968041,366.305168,1,0,0,0.385869565,0,0.024456522,0,0,0.589673913,1.611960065,NA,NA,238,119,6.8,NA,1,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
676000,43650.70175,765.818314,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2807.577234,1334.336739,-3,0,0,0.566371681,0.061946903,0.159292035,0,0,0.212389381,1.388809581,1.8,NA,191,95,7.2,NA,1,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
676700,386876.7573,2569.398952,2.7,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2063.319516,34.515889,0,0,0,0.720689655,0.020689655,0,0,0.055172414,0.203448276,2.286727123,1.95,4,42,21,7,0.009,1,8.98,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
677100,1102726.445,6860.785285,3,2.4,1,0,1,0,1,0,0,0,0,1,0,0,1,3,413.57379,10.742536,2,0.037234043,0,0.607712766,0,0,0,0,0.355053191,3.076479712,2.1,NA,177,86,7,NA,1,NA,73.75,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
677400,1365183.181,9785.750096,6.9,NA,1,0,1,0,1,0,0,0,0,0,0,0,1,3,40.803801,6.048563,1,0.164596273,0,0.248447205,0,0,0,0.026915114,0.560041408,3.824587484,2.1,NA,197,100,7.8,NA,1,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
679300,2046249.972,6245.690333,3,NA,1,0,1,0,1,0,0,0,0,1,0,0,1,3,1278.465054,0.045491,1,0.136363636,0,0.459090909,0,0,0,0,0.404545455,1.649691953,1.8,NA,177,86,7.6,NA,1,7.4,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
679600,28470.85147,1347.122811,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951.080964,950.046007,-2,0,0,0.550898204,0,0,0,0,0.449101796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
679900,251772.1446,1983.126952,3.6,NA,1,0,1,0,1,0,0,0,0,0,0,1,1,3,1492.289636,0.011436,-2,0.170305677,0,0.510917031,0.004366812,0,0,0.030567686,0.283842795,2.133706449,NA,NA,117,55,7.7,NA,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
683000,1172246.968,4890.678809,3,2.4,1,0,1,0,1,0,0,0,0,1,0,0,1,3,2810.315059,16.736044,2,0.115311909,0,0.514177694,0,0,0.043478261,0,0.327032136,1.240595237,NA,NA,180,109,7.1,NA,4,NA,75,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
683200,152986.8651,1908.611022,0.9,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2885.799958,14.259763,1,0.029850746,0,0.711442786,0,0,0,0,0.258706468,3.934180538,0.9,NA,254,120,7.4,NA,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
683400,13788.1538,894.184228,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483.11631,608.65457,0,0,0,0.155555556,0,0,0,0,0.844444444,NA,NA,NA,128,66,7.6,NA,1,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
684400,67438.40473,1182.90697,1.8,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3665.734058,163.701594,-2,0,0,0.211267606,0,0,0,0,0.788732394,2.640843878,NA,NA,16,5,7.8,NA,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
684500,120438.6629,1473.562254,4.5,NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3163.364824,93.78848,-2,0.032432432,0,0.410810811,0,0,0,0,0.556756757,3.383538043,2.4,NA,21,8,7.7,NA,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
684600,45595.06862,845.076207,1.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5833.385011,386.106541,1,0,0,0.387596899,0,0,0,0,0.612403101,3.385736861,1.2,NA,169,100,7.9,NA,1,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
686000,185398.5004,1745.542096,6.9,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5625.8867,79.261131,-3,0,0,0.376744186,0,0,0,0,0.623255814,4.341234194,5.4,1.075,21.1,2.19,6.01,NA,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
687600,14332.92284,556.372996,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057.426067,992.043562,0,0,0,0.330188679,0,0,0,0,0.669811321,NA,NA,NA,98,43,7.2,NA,3,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
689900,40580.35762,891.667981,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4563.875072,131.699011,-3,0.037878788,0,0.492424242,0,0,0,0,0.46969697,NA,1,NA,84,36,7.2,NA,1,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
691800,690279.2961,3146.014307,4.8,3.6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1381.192291,405.015352,0,0.008571429,0,0.72,0,0,0,0,0.271428571,2.302324199,3.3,NA,132,59,7.2,NA,4,NA,36.66666667,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
692400,5043878.473,13130.25686,12.6,NA,1,0,0,0,1,0,1,0,0,1,0,0,1,3,3249.666692,0,1,0.133651551,0,0.505966587,0,0.00477327,0,0,0.355608592,3.699924206,4.85,9.6125,91.75,43.485,7.62,0.009,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
692600,192714.0005,2809.475998,12.6,4.2,1,0,1,0,0,0,0,0,0,0,0,1,1,3,3415.576212,74.013862,-3,0.035087719,0,0.529824561,0,0,0,0,0.435087719,3.547231632,3.9,NA,42,22,6.5,NA,4,NA,10,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
692700,194977.9904,2489.761801,5.7,NA,1,0,1,0,0,0,0,0,0,0,0,1,1,3,3585.756752,98.085784,-3,0,0,0.323432343,0,0,0,0,0.676567657,3.16800271,3.3,NA,16,7,5.5,NA,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
692900,3396924.312,11202.04123,13.8,5.7,1,0,1,0,1,0,1,0,0,1,0,0,1,3,830.732886,24.410481,1,0.118473896,0,0.584337349,0.006024096,0,0,0,0.291164659,4.043382799,4.2,NA,42,22,7.1,NA,4,NA,7.368421053,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
693000,62779.11582,975.944172,2.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269.068663,86.308527,1,0,0,0.453125,0,0,0,0,0.546875,2.09104984,0.9,NA,43,25,7.2,NA,2,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
693100,21405.89472,677.897033,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828.321266,567.688703,0,0,0,0,0,0,0,0,1,NA,1,NA,66,35,6.8,NA,2,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
693300,76582.85611,1269.609179,5.7,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6083.393088,22.224138,-3,0,0,0.916666667,0,0,0,0,0.083333333,4.151765197,4.175,0.845,13.2,1.814333333,5.716666667,0.007,4,NA,NA,403010802,0.024046601,0.000105472,0.557508259,0.023324775,0.012810498,0.000277964,0.015857111,0.366069319
702200,95546.99306,1975.774041,6,3,1,0,1,0,1,0,1,0,0,1,0,0,0,0,795.764002,0,2,0.048245614,0,0.820175439,0,0,0,0.030701754,0.100877193,4.020108677,5.4,NA,201,98,7,NA,4,NA,67,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
702400,195418.0113,2182.771969,8.1,3.6,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1280.772361,0,2,0.133333333,0,0.779487179,0,0,0,0,0.087179487,2.859018853,5.4,NA,208,98,6.9,NA,4,NA,57.77777778,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
702500,296878.7854,3104.903806,22.5,8.1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1061.723002,0,2,0.13986014,0,0.84965035,0,0,0,0,0.01048951,2.741121643,5.7,NA,208,104,6.8,NA,4,NA,25.67901235,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
702600,370070.2455,3904.807613,16.2,8.1,1,0,1,0,1,0,1,0,0,1,0,0,1,2,931.222251,6.865896,2,0.219354839,0,0.619354839,0,0,0,0,0.161290323,NA,5.7,NA,207,104,6.8,NA,4,NA,25.55555556,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
702700,421409.7494,4559.024177,20.4,8.4,1,0,1,0,1,0,1,0,0,1,0,0,1,1,230.193508,10.264961,-3,0.171253823,0,0.810397554,0.01529052,0,0,0,0.003058104,NA,6,NA,212,103,6.7,NA,4,NA,25.23809524,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
702800,149608.1735,2073.725942,20.4,8.1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,16.732841,17.430352,-3,0.494252874,0,0.448275862,0,0,0,0.022988506,0.034482759,NA,7.2,NA,218,103,6.8,NA,4,NA,26.91358025,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
702900,12102.66777,425.05635,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.401516,25.647328,-3,0.28358209,0,0.686567164,0,0,0,0,0.029850746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
703000,239510.9192,2540.464131,5.7,4.98,1,0,1,0,1,0,1,0,0,1,0,0,1,3,1203.360165,15.384496,2,0.21875,0,0.607142857,0,0,0,0,0.174107143,2.578420756,4.2,22,211,99.5,7.3,0.009,4,NA,42.36947791,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
703200,27222.47337,738.445558,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.828151,11.523939,1,0.032608696,0,0.826086957,0,0,0,0,0.141304348,NA,NA,NA,213,95,7.1,NA,1,NA,NA,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
703300,92181.23484,1393.743101,8.1,NA,1,0,1,0,0,0,0,0,1,0,0,0,1,3,1406.902593,6.486781,1,0.069364162,0,0.89017341,0,0,0,0,0.040462428,3.958703828,3.3,NA,222,92,7,NA,1,NA,NA,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
703500,285762.8094,3008.41389,7.5,2.4,1,0,1,0,1,0,1,0,0,1,0,0,0,0,461.661452,0,-3,0.255737705,0,0.590163934,0,0,0,0,0.154098361,2.644528426,4.55,20,195,89,7.45,0.009,4,NA,81.25,403010807,0.089208127,0.001598075,0.518617235,0.008498545,0.035622814,0.00970276,0.054220242,0.282532202
704200,204049.5243,2186.257733,14.7,NA,1,0,1,0,1,0,0,0,1,0,0,0,1,3,9.919805,7.253022,1,0.462151394,0,0.38247012,0.039840637,0,0,0.079681275,0.035856574,3.950772834,1.5,NA,170,57,6.7,NA,2,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
705000,30833.93277,646.566958,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2068.154225,55.606757,1,0.081818182,0,0.6,0,0,0.027272727,0.136363636,0.154545455,NA,1,NA,71,23,6.4,NA,3,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
705200,59930.18734,1454.073174,6,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2881.153505,480.957802,2,0,0,0.560209424,0,0,0,0.214659686,0.22513089,3.148756395,2.7,NA,198,97,6.9,NA,1,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
705600,59012.34703,942.846013,6,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3610.093503,462.399271,0,0,0,0.424778761,0,0,0,0,0.575221239,4.188365788,2.1,NA,40,31,6.6,NA,1,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
705900,36460.35642,1536.550064,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589.208397,171.711627,1,0,0,0.388888889,0,0,0,0,0.611111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
706000,170670.5951,1705.002048,21.6,6.3,1,0,1,0,0,0,0,0,1,0,0,0,1,3,2684.777458,31.441307,1,0.056603774,0,0.238993711,0,0,0,0,0.704402516,3.506048019,3.3,26,301,138,8,0.009,1,NA,47.77777778,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
706100,51948.87714,1240.662558,2.1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2341.062315,704.407488,0,0,0,0.507936508,0,0,0,0,0.492063492,1.397146544,NA,NA,238,113,7.3,NA,1,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
706400,144618.5576,3281.654625,2.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3653.080036,158.903635,1,0,0,0.179738562,0,0,0,0,0.820261438,5.188974967,1.2,NA,85,43,6.8,NA,2,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
706600,25870.8922,1846.651854,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5726.694076,358.760673,1,0,0,0.65,0,0,0,0,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
706700,97013.82658,1972.434616,5.1,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5045.201346,84.937124,1,0.007092199,0,0.737588652,0,0.078014184,0,0,0.177304965,4.410436638,2.1,NA,202,112,7.2,NA,2,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
706900,409199.0267,3229.773742,9,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3767.425716,46.809875,1,0.022292994,0,0.611464968,0,0,0,0,0.366242038,3.687852002,3,NA,130,37,6.9,NA,2,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
707700,31531.03067,714.225467,1.8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4266.780236,1835.593681,-3,0,0,0.565217391,0,0,0,0,0.434782609,3.299177,NA,NA,214,88,7.3,NA,1,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
707800,46095.94499,1033.228241,4.8,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2670.705363,530.619487,1,0,0,0.442857143,0,0,0,0,0.557142857,1.706603994,4.2,NA,281,145,7.6,NA,4,NA,NA,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
707900,164793.8938,2048.579235,10.8,4.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2389.005524,891.659554,1,0,0,0.830845771,0,0,0,0,0.169154229,4.801442786,4.2,NA,313,776,7.5,NA,4,NA,69.55555556,403010605,0.036110816,0.000179716,0.592448865,0.005156947,0.037548546,0.005141717,0.079626555,0.243786838
708400,11117.35772,782.641215,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4499.914921,396.989498,2,0,0,0.173228346,0,0,0,0,0.826771654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
708600,23530.50635,1665.478236,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645.483108,174.675675,-3,0,0,0.359756098,0,0,0,0,0.640243902,NA,NA,NA,207,93,7.2,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
708800,230611.4894,1808.386102,0.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.991441,80.338758,1,0.030434783,0,0.77826087,0.008695652,0,0,0,0.182608696,0.708032677,NA,NA,200,96,7.1,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
709100,31114.77503,743.80964,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,918.239519,376.568728,-3,0,0,0.628318584,0,0,0,0,0.371681416,NA,1,NA,175,100,9.2,NA,1,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
709600,60869.8236,1018.156486,2.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392.042053,729.167043,-2,0,0,0.027972028,0,0,0,0,0.972027972,4.218754345,1.5,NA,23,9,7,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
709900,14223.64824,1130.33554,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.914859,110.630781,0,0.006711409,0,0.395973154,0,0,0,0.234899329,0.362416107,NA,NA,NA,291,154,7.6,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
710600,11836.8984,1006.486562,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447.43261,442.459345,0,0,0,0.675675676,0.054054054,0,0,0,0.27027027,NA,NA,NA,181,98,7.7,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
711200,14127.76058,957.554467,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,593.819813,603.377614,0,0,0,0.116883117,0,0,0,0,0.883116883,NA,1,NA,336,119,7.6,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
713800,11978.98706,1139.987157,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933.95031,59.988275,-2,0.074712644,0,0.528735632,0.028735632,0,0,0,0.367816092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
715300,26182.32269,914.63244,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.024872,609.891452,0,0,0,0.207692308,0,0,0,0,0.792307692,NA,NA,NA,128,55,8.2,NA,1,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
716100,117477.5243,1768.793798,4.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2883.532426,244.800998,0,0,0,0.751269036,0,0,0,0,0.248730964,1.375817479,3,NA,85,38,7,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
716300,10633.99092,969.080862,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.681422,40.110387,2,0,0,0.405405405,0,0,0,0,0.594594595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
716800,4051525.244,10082.79866,12,3.9,1,0,1,1,0,0,1,0,0,1,0,0,1,3,1566.031271,18.290858,0,0.082931533,0,0.637415622,0.009643202,0,0,0.014464802,0.255544841,1.55642691,0.6,NA,81,36,7.4,NA,1,NA,20.76923077,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
717100,20489.56218,694.525623,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.597725,557.135339,-3,0,0,0.834862385,0,0,0,0,0.165137615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
717200,57548.67494,1346.98068,6.3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1162.825529,426.005745,-3,0,0,0.818181818,0,0,0,0,0.181818182,4.501940693,2.7,NA,24,4,5.7,NA,1,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
717300,50680.39801,943.214755,6.6,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,207.37701,129.795268,-3,0,0,0.118881119,0,0,0,0,0.881118881,3.031616918,4.125,0.35,11.3,0.7955,5.125,0.006,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
717400,671673.9854,6268.922216,10.5,3.6,1,0,1,0,0,0,1,0,1,1,0,1,1,3,2073.215016,25.460944,-3,0.06020558,0,0.845814978,0,0.005873715,0,0.032305433,0.055800294,3.300596491,2.1,2.22,22.05,6.76,6.1,NA,4,NA,6.125,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
718800,12239.0459,400.603959,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,893.813006,691.858705,-3,0,0,0.428571429,0,0,0,0,0.571428571,NA,NA,NA,101,39,5.8,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
719100,13158.54907,841.052199,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050.687765,0,1,0,0,0.514925373,0,0,0,0,0.485074627,NA,1,NA,154,68,8.2,NA,4,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
719300,198262.8449,2151.840722,1.2,NA,1,0,0,0,1,0,0,0,1,0,0,0,1,3,1106.976306,38.240061,-3,0.059027778,0,0.3125,0,0,0,0,0.628472222,0.560402875,1.2,NA,130,53,7.8,NA,1,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
720900,225214.0794,5294.140273,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990.872414,22.311886,2,0.052959502,0,0.152647975,0,0,0,0.112149533,0.682242991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403010603,0.04671586,0.001084924,0.633726522,0.004947562,0.024950691,0.003701053,0.040834699,0.244038688
720925,10539.29957,462.955152,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1129.889097,33.946393,-2,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704000601,0.139468163,0.002250835,0.38409652,0.00588708,0.014821333,0.062979757,0.263049573,0.127446738
720930,19171.59219,624.575938,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2106.35193,1031.087144,-3,0.592105263,0,0,0,0,0,0,0.407894737,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,704000306,0.096314869,0.002429448,0.415272243,0.002791488,0.061253049,0.141366318,0.145182977,0.135389607
721000,542623.4176,16886.53951,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,3,467.532009,261.065501,8,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706000307,0.053598008,0.000411141,0.362807576,0.001423382,0.029152008,0.15892307,0.314024866,0.07965995
721200,29903.21615,729.467782,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2070.949476,12.512861,-3,0.644067797,0,0,0,0,0,0,0.355932203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706000502,0.108182004,0.000315548,0.223234935,0.005909691,0.01834193,0.268697606,0.334601607,0.040716678
721400,3853446.229,47500.69959,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2191.66289,165.861951,1,0.002850627,0,0.161345496,0,0,0.043899658,0.008551881,0.783352338,NA,NA,NA,277,146,7.9,NA,2,NA,NA,706000307,0.053598008,0.000411141,0.362807576,0.001423382,0.029152008,0.15892307,0.314024866,0.07965995
721800,142263.5959,5420.633654,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1645.931798,1258.441044,-3,0,0,0,0,0,0,0,1,1.680948711,NA,NA,301,144,7.9,NA,2,NA,NA,706000307,0.053598008,0.000411141,0.362807576,0.001423382,0.029152008,0.15892307,0.314024866,0.07965995
